ZIP Code,City,County,Type
ZIP Code 02482,Wellesley,Norfolk,Standard
ZIP Code 02492,Needham,Norfolk,Standard
ZIP Code 02493,Weston,Middlesex,Standard
ZIP Code 02494,Needham Heights,Norfolk,Standard
ZIP Code 02495,Nonantum,Middlesex,P.O. Box
ZIP Code 02532,Buzzards Bay,Barnstable,Standard
ZIP Code 02534,Cataumet,Barnstable,P.O. Box
ZIP Code 02535,Chilmark,Dukes,Standard
ZIP Code 02536,East Falmouth,Barnstable,Standard
ZIP Code 02537,East Sandwich,Barnstable,Standard
ZIP Code 02538,East Wareham,Plymouth,Standard
ZIP Code 02539,Edgartown,Dukes,Standard
ZIP Code 02540,Falmouth,Barnstable,Standard
ZIP Code 02541,Falmouth,Barnstable,P.O. Box
ZIP Code 02542,Buzzards Bay,Barnstable,Standard
ZIP Code 02543,Woods Hole,Barnstable,Standard
ZIP Code 02552,Menemsha,Dukes,P.O. Box
ZIP Code 02553,Monument Beach,Barnstable,P.O. Box
ZIP Code 02554,Nantucket,Nantucket,Standard
ZIP Code 02556,North Falmouth,Barnstable,Standard
ZIP Code 02557,Oak Bluffs,Dukes,P.O. Box
ZIP Code 02558,Onset,Plymouth,P.O. Box
ZIP Code 02559,Pocasset,Barnstable,Standard
ZIP Code 02561,Sagamore,Barnstable,P.O. Box
ZIP Code 02562,Sagamore Beach,Barnstable,Standard
ZIP Code 02563,Sandwich,Barnstable,Standard
ZIP Code 02564,Siasconset,Nantucket,P.O. Box
ZIP Code 02568,Vineyard Haven,Dukes,Standard
ZIP Code 02571,Wareham,Plymouth,Standard
ZIP Code 02574,West Falmouth,Barnstable,P.O. Box
ZIP Code 02575,West Tisbury,Dukes,P.O. Box
ZIP Code 02576,West Wareham,Plymouth,Standard
ZIP Code 02584,Nantucket,Nantucket,P.O. Box
ZIP Code 02601,Hyannis,Barnstable,Standard
ZIP Code 02630,Barnstable,Barnstable,Standard
ZIP Code 02631,Brewster,Barnstable,Standard
ZIP Code 02632,Centerville,Barnstable,Standard
ZIP Code 02633,Chatham,Barnstable,Standard
ZIP Code 02634,Centerville,Barnstable,P.O. Box
ZIP Code 02635,Cotuit,Barnstable,Standard
ZIP Code 02637,Cummaquid,Barnstable,P.O. Box
ZIP Code 02638,Dennis,Barnstable,Standard
ZIP Code 02639,Dennis Port,Barnstable,Standard
ZIP Code 02641,East Dennis,Barnstable,P.O. Box
ZIP Code 02642,Eastham,Barnstable,Standard
ZIP Code 02643,East Orleans,Barnstable,P.O. Box
ZIP Code 02644,Forestdale,Barnstable,Standard
ZIP Code 02645,Harwich,Barnstable,Standard
ZIP Code 02646,Harwich Port,Barnstable,Standard
ZIP Code 02647,Hyannis Port,Barnstable,P.O. Box
ZIP Code 02648,Marstons Mills,Barnstable,Standard
ZIP Code 02649,Mashpee,Barnstable,Standard
ZIP Code 02650,North Chatham,Barnstable,Standard
ZIP Code 02651,North Eastham,Barnstable,P.O. Box
ZIP Code 02652,North Truro,Barnstable,P.O. Box
ZIP Code 02653,Orleans,Barnstable,Standard
ZIP Code 02655,Osterville,Barnstable,Standard
ZIP Code 02657,Provincetown,Barnstable,Standard
ZIP Code 02659,South Chatham,Barnstable,Standard
ZIP Code 02660,South Dennis,Barnstable,Standard
ZIP Code 02661,South Harwich,Barnstable,P.O. Box
ZIP Code 02662,South Orleans,Barnstable,P.O. Box
ZIP Code 02663,South Wellfleet,Barnstable,P.O. Box
ZIP Code 02664,South Yarmouth,Barnstable,Standard
ZIP Code 02666,Truro,Barnstable,P.O. Box
ZIP Code 02667,Wellfleet,Barnstable,Standard
ZIP Code 02668,West Barnstable,Barnstable,Standard
ZIP Code 02669,West Chatham,Barnstable,P.O. Box
ZIP Code 02670,West Dennis,Barnstable,Standard
ZIP Code 02671,West Harwich,Barnstable,Standard
ZIP Code 02672,West Hyannisport,Barnstable,P.O. Box
ZIP Code 02673,West Yarmouth,Barnstable,Standard
ZIP Code 02675,Yarmouth Port,Barnstable,Standard
ZIP Code 02702,Assonet,Bristol,Standard
ZIP Code 02703,Attleboro,Bristol,Standard
ZIP Code 02712,Chartley,Bristol,P.O. Box
ZIP Code 02713,Cuttyhunk,Dukes,P.O. Box
ZIP Code 02714,Dartmouth,Bristol,P.O. Box
ZIP Code 02715,Dighton,Bristol,Standard
ZIP Code 02717,East Freetown,Bristol,Standard
ZIP Code 02718,East Taunton,Bristol,Standard
ZIP Code 02719,Fairhaven,Bristol,Standard
ZIP Code 02720,Fall River,Bristol,Standard
ZIP Code 02721,Fall River,Bristol,Standard
ZIP Code 02722,Fall River,Bristol,P.O. Box
ZIP Code 02723,Fall River,Bristol,Standard
ZIP Code 02724,Fall River,Bristol,Standard
ZIP Code 02725,Somerset,Bristol,Standard
ZIP Code 02726,Somerset,Bristol,Standard
ZIP Code 02738,Marion,Plymouth,Standard
ZIP Code 02739,Mattapoisett,Plymouth,Standard
ZIP Code 02740,New Bedford,Bristol,Standard
ZIP Code 02741,New Bedford,Bristol,P.O. Box
ZIP Code 02742,New Bedford,Bristol,P.O. Box
ZIP Code 02743,Acushnet,Bristol,Standard
ZIP Code 02744,New Bedford,Bristol,Standard
ZIP Code 02745,New Bedford,Bristol,Standard
ZIP Code 02746,New Bedford,Bristol,Standard
ZIP Code 02747,North Dartmouth,Bristol,Standard
ZIP Code 02748,South Dartmouth,Bristol,Standard
ZIP Code 02760,North Attleboro,Bristol,Standard
ZIP Code 02761,North Attleboro,Bristol,P.O. Box
ZIP Code 02762,Plainville,Norfolk,Standard
ZIP Code 02763,Attleboro Falls,Bristol,Standard
ZIP Code 02764,North Dighton,Bristol,Standard
ZIP Code 02766,Norton,Bristol,Standard
ZIP Code 02767,Raynham,Bristol,Standard
ZIP Code 02768,Raynham Center,Bristol,P.O. Box
ZIP Code 02769,Rehoboth,Bristol,Standard
ZIP Code 02770,Rochester,Plymouth,Standard
ZIP Code 02771,Seekonk,Bristol,Standard
ZIP Code 02777,Swansea,Bristol,Standard
ZIP Code 02779,Berkley,Bristol,Standard
ZIP Code 02780,Taunton,Bristol,Standard
ZIP Code 02790,Westport,Bristol,Standard
ZIP Code 02791,Westport Point,Bristol,P.O. Box
ZIP Code 05501,Andover,Essex,Unique
